raw_log,environment,level,service_name,module,error_code,affected_users_count,frequency_last_24h,days_since_release,is_payment_related,is_auth_related,is_db_error,is_timeout,is_rate_limit,is_oom,is_exception,is_failed,has_customer_impact,has_workaround,sla_breach_risk,is_crash,customer_tier,repeat_count_same_pattern,high_priority
2026-04-15T10:42:54Z WARN checkout-service Checkout request rejected for user=2042 error=CARD_TOKEN_ERROR env=prod fallback available workaround customer complaint opened enterprise customer affected checkout impacted,prod,WARN,checkout-service,payments,CARD_TOKEN_ERROR,375,1,21,1,1,0,0,0,0,0,1,1,1,0,0,enterprise,17,1
2026-04-15T10:43:01Z FATAL frontend-service Checkout button not responding for browser=safari env=staging urgent sev1 enterprise customer affected sla breach risk crash detected,staging,FATAL,frontend-service,ui,UNKNOWN,415,31,21,1,0,0,0,0,0,0,0,1,0,1,1,enterprise,30,1
2026-04-15T10:44:08Z WARN identity-service Session validation failed for user=2044 reason=DB_TIMEOUT env=prod customer complaint opened enterprise customer affected exception raised,prod,WARN,identity-service,auth,DB_TIMEOUT,255,36,21,0,1,1,1,0,0,1,1,1,0,0,0,enterprise,22,1
2026-04-15T10:45:15Z ERROR reporting-service Scheduled export failed tenant=tenant-5 error=EXPORT_TIMEOUT env=dev post-deploy regression urgent sev1,dev,ERROR,reporting-service,reporting,EXPORT_TIMEOUT,55,46,1,0,0,0,1,0,0,0,1,0,0,1,0,free,22,1
2026-04-15T10:46:22Z ERROR checkout-service Checkout request rejected for user=2046 error=PAYMENT_GATEWAY_DOWN env=prod all users impacted fallback available workaround checkout impacted exception raised,prod,ERROR,checkout-service,payments,PAYMENT_GATEWAY_DOWN,775,11,21,1,0,0,0,0,0,1,1,1,1,0,0,pro,16,1
2026-04-15T10:47:29Z ERROR notification-service SMTP timeout for customer=2047 env=dev fallback available workaround,dev,ERROR,notification-service,notifications,UNKNOWN,55,31,21,0,0,0,1,0,0,0,0,1,1,0,0,free,54,1
2026-04-15T10:48:36Z ERROR checkout-service Checkout request rejected for user=2048 error=PAYMENT_GATEWAY_DOWN env=prod fallback available workaround post-deploy regression all users impacted checkout impacted exception raised,prod,ERROR,checkout-service,payments,PAYMENT_GATEWAY_DOWN,775,11,1,1,0,0,0,0,0,1,1,1,1,0,0,pro,16,1
2026-04-15T10:49:43Z ERROR auth-service Login failed for user=2049 reason=OUT_OF_MEMORY env=staging single request failure enterprise customer affected sla breach risk exception raised,staging,ERROR,auth-service,auth,OUT_OF_MEMORY,305,26,21,0,1,0,0,0,0,1,1,1,0,1,0,enterprise,5,1
2026-04-15T10:50:50Z WARN identity-service Session validation failed for user=2050 reason=OUT_OF_MEMORY env=prod customer complaint opened vip tenant impacted sla breach risk exception raised,prod,WARN,identity-service,auth,OUT_OF_MEMORY,255,16,21,0,1,0,0,0,0,1,1,1,0,1,0,enterprise,10,1
2026-04-15T10:51:57Z INFO auth-service Login failed for user=2051 reason=DB_TIMEOUT env=prod all users impacted exception raised,prod,INFO,auth-service,auth,DB_TIMEOUT,685,36,21,0,1,1,1,0,0,1,1,1,0,0,0,pro,17,1
2026-04-15T10:52:04Z ERROR notification-service SMTP timeout for customer=2052 env=staging repeated spike after deploy urgent sev1 customer complaint opened,staging,ERROR,notification-service,notifications,UNKNOWN,75,81,1,0,0,0,1,0,0,0,0,1,0,1,0,free,74,1
2026-04-15T10:53:11Z INFO notification-service SMTP timeout for customer=2053 env=dev manual retry possible vip tenant impacted,dev,INFO,notification-service,notifications,UNKNOWN,155,21,21,0,0,0,1,0,0,0,0,1,0,0,0,enterprise,54,0
2026-04-15T10:54:18Z ERROR auth-service Login failed for user=2054 reason=TOKEN_EXPIRED env=staging enterprise customer affected,staging,ERROR,auth-service,auth,TOKEN_EXPIRED,305,26,21,0,1,0,0,0,0,0,1,1,0,0,0,enterprise,12,1
2026-04-15T10:55:25Z WARN search-service Search query failed user=2055 error=SEARCH_TIMEOUT env=prod vip tenant impacted enterprise customer affected fallback available workaround,prod,WARN,search-service,search,SEARCH_TIMEOUT,255,36,21,0,0,0,1,0,0,0,1,1,1,0,0,enterprise,77,1
2026-04-15T10:56:32Z FATAL checkout-service Checkout request rejected for user=2056 error=DB_TIMEOUT env=dev urgent sev1 crash detected exception raised,dev,FATAL,checkout-service,payments,DB_TIMEOUT,245,51,21,1,0,1,1,0,0,1,1,1,0,1,1,free,6,1
2026-04-15T10:57:39Z ERROR reporting-service Scheduled export failed tenant=tenant-17 error=DB_TIMEOUT env=staging post-deploy regression urgent sev1 vip tenant impacted exception raised,staging,ERROR,reporting-service,reporting,DB_TIMEOUT,225,46,1,0,0,1,1,0,0,1,1,0,0,1,0,enterprise,31,1
2026-04-15T10:58:46Z ERROR integrations-service Partner webhook failed partner=tenant-18 error=PARTNER_API_DOWN env=prod all users impacted repeated spike after deploy post-deploy regression exception raised,prod,ERROR,integrations-service,integrations,PARTNER_API_DOWN,655,76,1,0,0,0,0,0,0,1,1,1,0,0,0,pro,73,1
2026-04-15T10:59:53Z WARN frontend-service Checkout button not responding for browser=safari env=prod sla breach risk fallback available workaround,prod,WARN,frontend-service,ui,UNKNOWN,225,1,21,1,0,0,0,0,0,0,0,1,1,1,0,pro,93,1
2026-04-15T10:00:00Z ERROR search-service Search query failed user=2060 error=SEARCH_TIMEOUT env=prod urgent sev1,prod,ERROR,search-service,search,SEARCH_TIMEOUT,155,46,21,0,0,0,1,0,0,0,1,1,0,1,0,pro,77,1
2026-04-15T10:01:07Z ERROR integrations-service Partner webhook failed partner=tenant-21 error=PARTNER_API_DOWN env=dev sla breach risk exception raised,dev,ERROR,integrations-service,integrations,PARTNER_API_DOWN,55,26,21,0,0,0,0,0,0,1,1,0,0,1,0,free,20,0
2026-04-15T10:02:14Z ERROR ui-service Frontend exception during checkout env=dev sla breach risk urgent sev1,dev,ERROR,ui-service,ui,UNKNOWN,175,11,21,1,0,0,0,0,0,1,0,1,0,1,0,free,23,1
2026-04-15T10:03:21Z WARN checkout-service Checkout request rejected for user=2063 error=PAYMENT_GATEWAY_DOWN env=staging customer complaint opened urgent sev1 sla breach risk exception raised,staging,WARN,checkout-service,payments,PAYMENT_GATEWAY_DOWN,145,1,21,1,0,0,0,0,0,1,1,1,0,1,0,free,17,1
2026-04-15T10:04:28Z ERROR reporting-service Scheduled export failed tenant=tenant-24 error=DB_TIMEOUT env=prod post-deploy regression exception raised,prod,ERROR,reporting-service,reporting,DB_TIMEOUT,155,46,1,0,0,1,1,0,0,1,1,0,0,0,0,pro,53,1
2026-04-15T10:05:35Z FATAL integrations-service Partner webhook failed partner=tenant-25 error=WEBHOOK_TIMEOUT env=prod fallback available workaround post-deploy regression sla breach risk crash detected,prod,FATAL,integrations-service,integrations,WEBHOOK_TIMEOUT,225,66,1,0,0,0,1,0,0,0,1,0,1,1,1,pro,72,1
2026-04-15T10:06:42Z WARN notification-service SMTP timeout for customer=2066 env=dev enterprise customer affected vip tenant impacted,dev,WARN,notification-service,notifications,UNKNOWN,155,21,21,0,0,0,1,0,0,0,0,1,0,0,0,enterprise,54,1
2026-04-15T10:07:49Z ERROR reporting-service Scheduled export failed tenant=tenant-27 error=EXPORT_TIMEOUT env=prod sla breach risk customer complaint opened,prod,ERROR,reporting-service,reporting,EXPORT_TIMEOUT,155,46,21,0,0,0,1,0,0,0,1,1,0,1,0,pro,68,1
2026-04-15T10:08:56Z ERROR frontend-service Checkout button not responding for browser=safari env=staging single request failure,staging,ERROR,frontend-service,ui,UNKNOWN,195,11,21,1,0,0,0,0,0,0,1,1,0,0,0,free,30,0
2026-04-15T10:09:03Z WARN checkout-service Checkout request rejected for user=2069 error=RATE_LIMIT env=prod sla breach risk checkout impacted,prod,WARN,checkout-service,payments,RATE_LIMIT,225,1,21,1,0,0,0,1,0,0,1,1,0,1,0,pro,17,1
2026-04-15T10:10:10Z ERROR reporting-service Scheduled export failed tenant=tenant-30 error=EXPORT_TIMEOUT env=prod single request failure repeated spike after deploy every request failing,prod,ERROR,reporting-service,reporting,EXPORT_TIMEOUT,155,196,1,0,0,0,1,0,0,0,1,0,0,0,0,pro,68,1
2026-04-15T10:11:17Z WARN notification-service SMTP timeout for customer=2071 env=prod repeated spike after deploy,prod,WARN,notification-service,notifications,UNKNOWN,105,71,1,0,0,0,1,0,0,0,0,1,0,0,0,pro,138,1
2026-04-15T10:12:24Z FATAL auth-service Login failed for user=2072 reason=DB_TIMEOUT env=prod every request failing vip tenant impacted repeated spike after deploy crash detected exception raised,prod,FATAL,auth-service,auth,DB_TIMEOUT,455,216,1,0,1,1,1,0,0,1,1,1,0,0,1,enterprise,17,1
2026-04-15T10:13:31Z ERROR integrations-service Partner webhook failed partner=tenant-33 error=PARTNER_API_DOWN env=staging fallback available workaround exception raised,staging,ERROR,integrations-service,integrations,PARTNER_API_DOWN,75,26,21,0,0,0,0,0,0,1,1,0,1,0,0,free,25,1
2026-04-15T10:14:38Z FATAL reporting-service Scheduled export failed tenant=tenant-34 error=DB_TIMEOUT env=staging vip tenant impacted repeated spike after deploy crash detected exception raised,staging,FATAL,reporting-service,reporting,DB_TIMEOUT,295,116,1,0,0,1,1,0,0,1,1,0,0,0,1,enterprise,31,1
2026-04-15T10:15:45Z ERROR integrations-service Partner webhook failed partner=tenant-35 error=PARTNER_API_DOWN env=prod every request failing exception raised,prod,ERROR,integrations-service,integrations,PARTNER_API_DOWN,155,126,21,0,0,0,0,0,0,1,1,0,0,0,0,pro,73,1
2026-04-15T10:16:52Z ERROR frontend-service Checkout button not responding for browser=safari env=prod customer complaint opened,prod,ERROR,frontend-service,ui,UNKNOWN,275,11,21,1,0,0,0,0,0,0,0,1,0,0,0,pro,93,1
2026-04-15T10:17:59Z WARN ui-service Frontend exception during checkout env=prod single request failure vip tenant impacted sla breach risk,prod,WARN,ui-service,ui,UNKNOWN,375,1,21,1,0,0,0,0,0,1,1,1,0,1,0,enterprise,65,1
2026-04-15T10:18:06Z ERROR payment-service Charge failed order_id=10078 user=2078 error=RATE_LIMIT env=prod single request failure checkout impacted,prod,ERROR,payment-service,payments,RATE_LIMIT,275,26,21,1,0,0,0,1,0,0,1,1,0,0,0,pro,22,1
2026-04-15T10:19:13Z ERROR integrations-service Partner webhook failed partner=tenant-39 error=PARTNER_API_DOWN env=staging every request failing exception raised,staging,ERROR,integrations-service,integrations,PARTNER_API_DOWN,75,126,21,0,0,0,0,0,0,1,1,0,0,0,0,free,25,1
2026-04-15T10:20:20Z WARN integrations-service Partner webhook failed partner=tenant-0 error=WEBHOOK_TIMEOUT env=prod manual retry possible,prod,WARN,integrations-service,integrations,WEBHOOK_TIMEOUT,105,36,21,0,0,0,1,0,0,0,1,0,0,0,0,pro,72,1
2026-04-15T10:21:27Z FATAL notification-service SMTP timeout for customer=2081 env=prod enterprise customer affected manual retry possible crash detected,prod,FATAL,notification-service,notifications,UNKNOWN,375,51,21,0,0,0,1,0,0,0,0,1,0,0,1,enterprise,138,1
2026-04-15T10:22:34Z ERROR checkout-service Checkout request rejected for user=2082 error=RATE_LIMIT env=prod repeated spike after deploy manual retry possible all users impacted checkout impacted,prod,ERROR,checkout-service,payments,RATE_LIMIT,775,61,1,1,0,0,0,1,0,0,1,1,0,0,0,pro,17,1
2026-04-15T10:23:41Z ERROR reporting-service Scheduled export failed tenant=tenant-3 error=DB_TIMEOUT env=dev manual retry possible post-deploy regression urgent sev1 exception raised,dev,ERROR,reporting-service,reporting,DB_TIMEOUT,55,46,1,0,0,1,1,0,0,1,1,0,0,1,0,free,18,1
2026-04-15T10:24:48Z ERROR ui-service Frontend exception during checkout env=prod post-deploy regression sla breach risk vip tenant impacted,prod,ERROR,ui-service,ui,UNKNOWN,425,11,1,1,0,0,0,0,0,1,0,1,0,1,0,enterprise,65,1
2026-04-15T10:25:55Z WARN auth-service Login failed for user=2085 reason=TOKEN_EXPIRED env=staging every request failing,staging,WARN,auth-service,auth,TOKEN_EXPIRED,105,116,21,0,1,0,0,0,0,0,1,1,0,0,0,free,12,0
2026-04-15T10:26:02Z INFO frontend-service Checkout button not responding for browser=safari env=staging customer complaint opened enterprise customer affected,staging,INFO,frontend-service,ui,UNKNOWN,295,1,21,1,0,0,0,0,0,0,0,1,0,0,0,enterprise,30,0
2026-04-15T10:27:09Z WARN integrations-service Partner webhook failed partner=tenant-7 error=WEBHOOK_TIMEOUT env=staging urgent sev1,staging,WARN,integrations-service,integrations,WEBHOOK_TIMEOUT,25,36,21,0,0,0,1,0,0,0,1,0,0,1,0,free,47,1
2026-04-15T10:28:16Z ERROR identity-service Session validation failed for user=2088 reason=DB_TIMEOUT env=dev single request failure exception raised,dev,ERROR,identity-service,auth,DB_TIMEOUT,55,46,21,0,1,1,1,0,0,1,1,1,0,0,0,free,7,1
2026-04-15T10:29:23Z FATAL integrations-service Partner webhook failed partner=tenant-9 error=PARTNER_API_DOWN env=prod repeated spike after deploy sla breach risk crash detected exception raised,prod,FATAL,integrations-service,integrations,PARTNER_API_DOWN,225,96,1,0,0,0,0,0,0,1,1,0,0,1,1,pro,73,1
2026-04-15T10:30:30Z FATAL frontend-service Checkout button not responding for browser=safari env=staging sla breach risk crash detected,staging,FATAL,frontend-service,ui,UNKNOWN,265,31,21,1,0,0,0,0,0,0,0,1,0,1,1,free,30,1
2026-04-15T10:31:37Z ERROR frontend-service Checkout button not responding for browser=safari env=prod manual retry possible repeated spike after deploy vip tenant impacted,prod,ERROR,frontend-service,ui,UNKNOWN,425,61,1,1,0,0,0,0,0,0,0,1,0,0,0,enterprise,93,1
2026-04-15T10:32:44Z ERROR reporting-service Scheduled export failed tenant=tenant-12 error=EXPORT_TIMEOUT env=staging vip tenant impacted fallback available workaround customer complaint opened,staging,ERROR,reporting-service,reporting,EXPORT_TIMEOUT,225,46,21,0,0,0,1,0,0,0,1,1,1,0,0,enterprise,23,1
2026-04-15T10:33:51Z INFO integrations-service Partner webhook failed partner=tenant-13 error=PARTNER_API_DOWN env=prod sla breach risk exception raised,prod,INFO,integrations-service,integrations,PARTNER_API_DOWN,105,16,21,0,0,0,0,0,0,1,1,0,0,1,0,pro,73,1
2026-04-15T10:34:58Z ERROR frontend-service Checkout button not responding for browser=safari env=prod post-deploy regression every request failing,prod,ERROR,frontend-service,ui,UNKNOWN,275,111,1,1,0,0,0,0,0,0,0,1,0,0,0,pro,93,1
2026-04-15T10:35:05Z WARN reporting-service Scheduled export failed tenant=tenant-15 error=EXPORT_TIMEOUT env=staging repeated spike after deploy all users impacted post-deploy regression,staging,WARN,reporting-service,reporting,EXPORT_TIMEOUT,525,86,1,0,0,0,1,0,0,0,1,1,0,0,0,free,23,1
2026-04-15T10:36:12Z ERROR reporting-service Scheduled export failed tenant=tenant-16 error=DB_TIMEOUT env=prod sla breach risk urgent sev1 vip tenant impacted exception raised,prod,ERROR,reporting-service,reporting,DB_TIMEOUT,305,46,21,0,0,1,1,0,0,1,1,0,0,1,0,enterprise,53,1
2026-04-15T10:37:19Z ERROR frontend-service Checkout button not responding for browser=safari env=prod fallback available workaround urgent sev1,prod,ERROR,frontend-service,ui,UNKNOWN,275,11,21,1,0,0,0,0,0,0,0,1,1,1,0,pro,93,1
2026-04-15T10:38:26Z ERROR checkout-service Checkout request rejected for user=2098 error=DB_TIMEOUT env=prod enterprise customer affected checkout impacted exception raised,prod,ERROR,checkout-service,payments,DB_TIMEOUT,425,31,21,1,0,1,1,0,0,1,1,1,0,0,0,enterprise,20,1
2026-04-15T10:39:33Z WARN auth-service Login failed for user=2099 reason=DB_TIMEOUT env=prod every request failing exception raised,prod,WARN,auth-service,auth,DB_TIMEOUT,185,136,21,0,1,1,1,0,0,1,1,1,0,0,0,pro,17,1
2026-04-15T10:40:40Z ERROR integrations-service Partner webhook failed partner=tenant-20 error=WEBHOOK_TIMEOUT env=dev every request failing fallback available workaround,dev,ERROR,integrations-service,integrations,WEBHOOK_TIMEOUT,55,146,21,0,0,0,1,0,0,0,1,0,1,0,0,free,24,0
2026-04-15T10:41:47Z WARN identity-service Session validation failed for user=2101 reason=DB_TIMEOUT env=prod manual retry possible enterprise customer affected sla breach risk exception raised,prod,WARN,identity-service,auth,DB_TIMEOUT,255,36,21,0,1,1,1,0,0,1,1,1,0,1,0,enterprise,22,1
2026-04-15T10:42:54Z ERROR search-service Search query failed user=2102 error=INDEX_UNAVAILABLE env=staging single request failure manual retry possible,staging,ERROR,search-service,search,INDEX_UNAVAILABLE,75,26,21,0,0,0,0,0,0,0,1,1,0,0,0,free,26,1
